"Último: Tiempo (s)","Último: Fuerza (N)"
19.9,30.9878289471
20,31.4191229786
20.1,31.2034759629
20.2,31.2034759629
20.3,30.9878289471
20.4,29.9095938685
20.5,30.3408879
20.6,30.7721819314
20.7,31.4191229786
20.8,32.9286520886
20.9,34.4247032602
21,35.5029383388
21.1,35.5029383388
21.2,35.2872913231
21.3,34.4247032602
21.4,33.7912401515
21.5,33.5755931358
21.6,32.7130050729
21.7,32.2817110415
21.8,32.4973580572
21.9,32.4973580572
22,31.6347699943
22.1,31.4191229786
22.2,31.2034759629
22.3,30.9878289471
22.4,30.5565349157
22.5,30.1252408843
22.6,30.1252408843
22.7,30.1252408843
22.8,29.9095938685
22.9,29.2626528214
23,28.4000647585
23.1,28.6157117742
23.2,28.6157117742
23.3,28.8313587899
23.4,28.6157117742
23.5,28.6157117742
23.6,29.0470058057
23.7,28.8313587899
23.8,29.0470058057
23.9,28.8313587899
24,28.4000647585
24.1,28.8313587899
24.2,29.2626528214
24.3,29.9095938685
24.4,29.6939468528
24.5,29.6939468528
24.6,29.6939468528
24.7,29.2626528214
24.8,29.2626528214
24.9,29.6939468528
25,30.3408879
25.1,30.3408879
25.2,30.3408879
25.3,30.7721819314
25.4,30.5565349157
25.5,29.9095938685
25.6,30.5565349157
25.7,29.6939468528
25.8,29.6939468528
25.9,29.9095938685
26,29.9095938685
26.1,29.9095938685
26.2,30.3408879
26.3,30.5565349157
26.4,30.3408879
26.5,29.9095938685
26.6,29.9095938685
26.7,29.6939468528
26.8,29.4782998371
26.9,29.9095938685
27,30.9878289471
27.1,30.7721819314
27.2,30.9878289471
27.3,30.9878289471
27.4,31.4191229786
27.5,31.6347699943
27.6,31.4191229786
27.7,30.9878289471
27.8,31.6347699943
27.9,31.6347699943
28,31.4191229786
28.1,31.6347699943
28.2,32.4973580572
28.3,33.1442991043
28.4,33.1442991043
28.5,33.1442991043
28.6,32.9286520886
28.7,32.9286520886
28.8,32.9286520886
28.9,32.4973580572
29,32.0660640257
29.1,32.7130050729
29.2,33.5755931358
29.3,34.0068871672
29.4,33.7912401515
29.5,33.5755931358
29.6,33.5755931358
29.7,32.7130050729
