Vernier Format 2
rest_spirom3.cmbl 10/05/20 16:24 .
Último
Tiempo	Rapidez flujo	Volumen
t	Flujo	Vol
s	L/s	L

0.01	-0.717086378238	-0
0.02	-0.726607862845	0.00721847120542
0.03	-0.726607862845	0.0144845498339
0.04	-0.717086378238	0.0217030210393
0.05	-0.717086378238	0.0288738848217
0.06	-0.717086378238	0.036044748604
0.07	-0.698043409022	0.0431203975403
0.08	-0.688521924414	0.0500532242075
0.09	-0.688521924414	0.0569384434517
0.1	-0.679000439806	0.0637760552728
0.11	-0.679000439806	0.0705660596708
0.12	-0.660552563379	0.0772638246867
0.13	-0.660552563379	0.0838693503205
0.14	-0.669478955198	0.0905195079134
0.15	-0.669478955198	0.0972142974654
0.16	-0.669478955198	0.103909087017
0.17	-0.669478955198	0.110603876569
0.18	-0.651031078771	0.117206426739
0.19	-0.651031078771	0.123716737527
0.2	-0.622466624947	0.130084226046
0.21	-0.622466624947	0.136308892295
0.22	-0.622466624947	0.142533558544
0.23	-0.593902171124	0.148615402525
0.24	-0.574859201908	0.15445920939
0.25	-0.498687325045	0.159826942025
0.26	-0.470122871222	0.164670993006
0.27	-0.451079902006	0.169277006872
0.28	-0.441558417398	0.173740198469
0.29	-0.441558417398	0.178155782643
0.3	-0.441558417398	0.182571366817
0.31	-0.441558417398	0.186986950991
0.32	-0.470122871222	0.191545357434
0.33	-0.460601386614	0.196198978723
0.34	-0.460601386614	0.20080499259
0.35	-0.451079902006	0.205363399033
0.36	-0.441558417398	0.20982659063
0.37	-0.422515448183	0.214146959958
0.38	-0.412993963575	0.218324507016
0.39	-0.393950994359	0.222359231806
0.4	-0.365386540536	0.226155919481
0.41	-0.355865055928	0.229762177463
0.42	-0.34634357132	0.233273220599
0.43	-0.34634357132	0.236736656312
0.44	-0.34634357132	0.240200092025
0.45	-0.355865055928	0.243711135162
0.46	-0.34634357132	0.247222178298
0.47	-0.34634357132	0.250685614011
0.48	-0.34634357132	0.254149049724
0.49	-0.34634357132	0.257612485438
0.5	-0.355865055928	0.261123528574
0.51	-0.355865055928	0.264682179133
0.52	-0.355865055928	0.268240829692
0.53	-0.384429509751	0.271942302521
0.54	-0.365386540536	0.275691382772
0.55	-0.374908025144	0.279392855601
0.56	-0.365386540536	0.283094328429
0.57	-0.365386540536	0.286748193834
0.58	-0.355865055928	0.290354451817
0.59	-0.374908025144	0.294008317222
0.6	-0.365386540536	0.29770979005
0.61	-0.374908025144	0.301411262879
0.62	-0.374908025144	0.30516034313
0.63	-0.374908025144	0.308909423382
0.64	-0.384429509751	0.312706111056
0.65	-0.384429509751	0.316550406154
0.66	-0.393950994359	0.320442308674
0.67	-0.403472478967	0.324429426041
0.68	-0.384429509751	0.328368935984
0.69	-0.384429509751	0.332213231082
0.7	-0.384429509751	0.33605752618
0.71	-0.384429509751	0.339901821277
0.72	-0.393950994359	0.343793723798
0.73	-0.374908025144	0.347638018895
0.74	-0.327895694893	0.351152037495
0.75	-0.299331241069	0.354288172175
0.76	-0.270766787246	0.357138662317
0.77	-0.270766787246	0.359846330189
0.78	-0.270766787246	0.362553998062
0.79	-0.299331241069	0.365404488203
0.8	-0.308852725677	0.368445408037
0.81	-0.336822086712	0.371673782099
0.82	-0.327895694893	0.374997371007
0.83	-0.308852725677	0.37818111311
0.84	-0.289809756461	0.38117442552
0.85	-0.261245302638	0.383929700816
0.86	-0.232680848814	0.386399331573
0.87	-0.185073425775	0.388488102946
0.88	-0.146987487344	0.390148407512
0.89	-0.0898585796967	0.391332637847
0.9	-0.0422511566576	0.391993186529
0.91	0.00476117359358	0.392180636444
0.92	0.0714115658484	0.391799772747
0.93	0.10949750428	0.390895227396
0.94	0.176147896535	0.389467000392
0.95	0.233276804182	0.387419876888
0.96	0.290405711828	0.384801464308
0.97	0.33741804208	0.381662345539
0.98	0.394546949727	0.37800252058
0.99	0.413589918942	0.373961836236
1	0.461197341981	0.369587899932
1.01	0.480240311197	0.364880711666
1.02	0.508804765021	0.359935486285
1.03	0.527847734236	0.354752223789
1.04	0.575455157275	0.349235709331
1.05	0.604019611099	0.343338335489
1.06	0.641510456742	0.33711068515
1.07	0.698639364389	0.330409936044
1.08	0.736725302821	0.323233112708
1.09	0.793854210468	0.315580215142
1.1	0.803375695075	0.307594065614
1.11	0.850983118115	0.299322271548
1.12	0.841461633507	0.29086004779
1.13	0.879547571938	0.282255001763
1.14	0.879547571938	0.273459526043
1.15	0.908112025762	0.264521228055
1.16	0.908112025762	0.255440107797
1.17	0.908112025762	0.24635898754
1.18	0.908112025762	0.237277867282
1.19	0.936676479585	0.228053924755
1.2	0.936676479585	0.21868715996
1.21	0.974167325228	0.209132940935
1.22	0.974167325228	0.199391267683
1.23	0.974167325228	0.189649594431
1.24	1.01225326366	0.179717491486
1.25	1.03129623288	0.169499744004
1.26	1.0598606867	0.159043959406
1.27	1.05033920209	0.148492959962
1.28	1.0598606867	0.137941960518
1.29	1.05033920209	0.127390961074
1.3	1.04081771748	0.116935176476
1.31	1.03129623288	0.106574606724
1.32	1.04081771748	0.0962140369725
1.33	1.03129623288	0.0858534672207
1.34	1.00273177905	0.0756833271611
1.35	1.03129623288	0.0655131871014
1.36	1.02177474827	0.0552478321957
1.37	1.04081771748	0.0449348698669
1.38	1.02177474827	0.0346219075382
1.39	1.01225326366	0.0244517674785
1.4	1.02177474827	0.0142816274189
1.41	1.02177474827	0.00406387993619
1.42	1.01225326366	-0.00610626012346
1.43	0.983688809836	-0.0160859704909
1.44	0.993210294444	-0.0259704660123
