Vernier Format 2
pulsos.cmbl 05/05/20 14:46 .
Último
Tiempo	Fuerza
t	F
s	N

9.3	25.6101314926
9.4	35.0716443073
9.5	39.6002316375
9.6	36.149879386
9.7	26.2570725398
9.8	12.6847884879
9.9	3.87021672027
10	2.36068761023
10.1	2.57633462595
10.2	2.36068761023
10.3	4.51715776743
10.4	15.9194937237
10.5	31.85041701
10.6	43.0371059505
10.7	41.541054779
10.8	17.8603168651
10.9	5.79756192327
11	2.79198164167
11.1	2.57633462595
11.2	2.57633462595
11.3	4.73280478315
11.4	12.2534944564
11.5	24.3162493983
11.6	35.2872913231
11.7	34.0068871672
11.8	21.7284852096
11.9	7.52273804904
12	4.08586373599
12.1	3.00762865739
12.2	2.57633462595
12.3	4.08586373599
12.4	13.5473765507
12.5	21.2971911782
12.6	30.7721819314
12.7	41.541054779
12.8	43.0371059505
12.9	38.0907025274
13	29.4782998371
13.1	13.9786705822
13.2	5.15062087611
13.3	3.87021672027
13.4	3.87021672027
13.5	4.73280478315
13.6	7.95403208048
13.7	17.6446698494
13.8	26.4727195555
13.9	29.0470058057
14	27.7531237113
14.1	25.6101314926
14.2	24.3162493983
14.3	14.6256116293
14.4	5.79756192327
14.5	3.65456970455
14.6	2.79198164167
14.7	6.013208939
14.8	20.2189560996
14.9	28.4000647585
15	34.0068871672
15.1	35.5029383388
15.2	34.0068871672
15.3	32.7130050729
15.4	15.0569056608
15.5	5.15062087611
15.6	3.87021672027
15.7	3.43892268883
15.8	4.08586373599
15.9	14.8412586451
16	25.6101314926
16.1	32.2817110415
16.2	35.0716443073
16.3	34.2090562445
16.4	32.0660640257
16.5	25.8257785083
16.6	12.6847884879
16.7	5.15062087611
16.8	3.87021672027
16.9	3.43892268883
17	3.87021672027
17.1	16.3507877551
17.2	31.4191229786
17.3	34.8559972916
17.4	35.0716443073
17.5	35.0716443073
17.6	33.5755931358
17.7	18.9385519437
17.8	6.013208939
17.9	3.43892268883
18	3.22327567311
18.1	3.43892268883
18.2	6.66014998616
18.3	23.6693083511
18.4	30.5565349157
18.5	31.6347699943
18.6	31.2034759629
18.7	30.9878289471
18.8	27.5374766956
18.9	21.5128381939
19	10.9730903006
19.1	4.93497386039
19.2	3.65456970455
19.3	3.65456970455
19.4	3.65456970455
19.5	3.87021672027
19.6	4.08586373599
19.7	4.30151075171
19.8	4.30151075171
19.9	4.51715776743
20	4.51715776743
20.1	4.51715776743
20.2	4.51715776743
20.3	4.73280478315
20.4	4.51715776743
20.5	4.51715776743
20.6	4.51715776743
20.7	4.51715776743
20.8	4.08586373599
20.9	3.43892268883
21	2.57633462595
21.1	2.36068761023
21.2	2.36068761023
21.3	2.36068761023
21.4	2.36068761023
21.5	2.36068761023
21.6	2.36068761023
21.7	8.1696790962
21.8	49.7086854994
21.9	77.0554226805
22	84.8052373079
22.1	93.4041620598
22.2	93.6198090755
22.3	88.0264646052
22.4	49.9243325151
22.5	12.9004355036
22.6	5.15062087611
22.7	3.43892268883
22.8	2.57633462595
22.9	2.79198164167
23	3.22327567311
23.1	4.93497386039
23.2	21.7284852096
23.3	67.7960789429
23.4	73.3894234132
23.5	77.0554226805
23.6	79.1984148992
23.7	82.2174731193
23.8	78.3358268363
23.9	57.2428531111
24	20.4346031153
24.1	5.36626789183
24.2	3.22327567311
