Vernier Format 2
fatigue_spirom3.cmbl 10/05/20 16:17 .
Latest
Tiempo	Tasa de Flujo	Volumen
t	Flujo	Vol
s	L/s	L

0	-0.0517726412654	-0
0.01	-0.0612941258732	0.000565333835693
0.02	-0.0517726412654	0.00113066767139
0.03	-0.0517726412654	0.00164839408404
0.04	-0.0517726412654	0.00216612049669
0.05	-0.0517726412654	0.00268384690935
0.06	-0.0517726412654	0.003201573322
0.07	-0.0422511566576	0.00367169231162
0.08	-0.0517726412654	0.00414181130123
0.09	-0.0517726412654	0.00465953771389
0.1	-0.0422511566576	0.0051296567035
0.11	-0.0422511566576	0.00555216827008
0.12	-0.0422511566576	0.00597467983665
0.13	-0.0422511566576	0.00639719140323
0.14	-0.0327296720498	0.00677209554677
0.15	-0.0327296720498	0.00709939226726
0.16	-0.0232081874419	0.00737908156472
0.17	-0.0517726412654	0.00775398570826
0.18	-0.0803370950889	0.00841453439003
0.19	-0.0803370950889	0.00921790534092
0.2	-0.0708156104811	0.00997366886877
0.21	-0.0612941258732	0.0106342175505
0.22	-0.0517726412654	0.0111995513862
0.23	-0.0422511566576	0.0116696703758
0.24	-0.0422511566576	0.0120921819424
0.25	-0.0422511566576	0.012514693509
0.26	-0.0422511566576	0.0129372050756
0.27	-0.0422511566576	0.0133597166422
0.28	-0.0327296720498	0.0137346207857
0.29	-0.0422511566576	0.0141095249292
0.3	-0.0517726412654	0.0145796439188
0.31	-0.0422511566576	0.0150497629085
0.32	-0.0612941258732	0.0155674893211
0.33	-0.0517726412654	0.0161328231568
0.34	-0.0517726412654	0.0166505495695
0.35	-0.0612941258732	0.0172158834052
0.36	-0.0517726412654	0.0177812172408
0.37	-0.0422511566576	0.0182513362305
0.38	-0.0517726412654	0.0187214552201
0.39	-0.0517726412654	0.0192391816327
0.4	-0.0422511566576	0.0197093006223
0.41	-0.0422511566576	0.0201318121889
0.42	-0.0327296720498	0.0205067163325
0.43	-0.0422511566576	0.020881620476
0.44	-0.0327296720498	0.0212565246195
0.45	-0.0327296720498	0.02158382134
0.46	-0.0422511566576	0.0219587254836
0.47	-0.0422511566576	0.0223812370501
0.48	-0.0422511566576	0.0228037486167
0.49	-0.0517726412654	0.0232738676063
0.5	-0.0517726412654	0.023791594019
0.51	-0.0612941258732	0.0243569278547
0.52	-0.0612941258732	0.0249698691134
0.53	-0.0612941258732	0.0255828103721
0.54	-0.0612941258732	0.0261957516309
0.55	-0.0517726412654	0.0267610854666
0.56	-0.0517726412654	0.0272788118792
0.57	-0.0517726412654	0.0277965382919
0.58	-0.0517726412654	0.0283142647045
0.59	-0.0517726412654	0.0288319911172
0.6	-0.0612941258732	0.0293973249529
0.61	-0.0612941258732	0.0300102662116
0.62	-0.0612941258732	0.0306232074703
0.63	-0.0612941258732	0.0312361487291
0.64	-0.0612941258732	0.0318490899878
0.65	-0.0708156104811	0.0325096386696
0.66	-0.0898585796967	0.0333130096205
0.67	-0.0993800643046	0.0342592028405
0.68	-0.108901548912	0.0353006109066
0.69	-0.0898585796967	0.0362944115496
0.7	-0.0898585796967	0.0371929973466
0.71	-0.0803370950889	0.0380439757205
0.72	-0.0612941258732	0.0387521318253
0.73	-0.0517726412654	0.039317465661
0.74	-0.0422511566576	0.0397875846506
0.75	-0.0422511566576	0.0402100962172
0.76	-0.0517726412654	0.0406802152068
0.77	-0.0517726412654	0.0411979416195
0.78	-0.0612941258732	0.0417632754552
0.79	-0.0708156104811	0.0424238241369
0.8	-0.0803370950889	0.0431795876648
0.81	-0.0803370950889	0.0439829586157
0.82	-0.0993800643046	0.0448815444126
0.83	-0.0803370950889	0.0457801302096
0.84	-0.0708156104811	0.0465358937374
0.85	-0.0517726412654	0.0471488349962
0.86	-0.0517726412654	0.0476665614088
0.87	-0.0517726412654	0.0481842878215
0.88	-0.0612941258732	0.0487496216572
0.89	-0.0422511566576	0.0492673480698
0.9	-0.0327296720498	0.0496422522134
0.91	-0.0327296720498	0.0499695489339
0.92	-0.0136867028341	0.0502016308083
0.93	-0.0136867028341	0.0503384978366
0.94	-0.0136867028341	0.050475364865
0.95	-0.0136867028341	0.0506122318933
0.96	-0.0136867028341	0.0507490989217
0.97	-0.0327296720498	0.0509811807961
0.98	-0.0517726412654	0.0514036923626
0.99	-0.0612941258732	0.0519690261983
1	-0.0803370950889	0.0526771823032
1.01	-0.108901548912	0.0536233755232
1.02	-0.156508971952	0.0549504281275
1.03	-0.232680848814	0.0568963772313
1.04	-0.34634357132	0.059791499332
1.05	-0.489165840438	0.0639690463908
1.06	-0.717086378238	0.0700003074841
1.07	-0.92655903961	0.0782185345734
1.08	-1.11639363898	0.0884332979663
1.09	-1.23065145427	0.100168523433
1.1	-1.38240011521	0.11323378128
1.11	-1.47761496129	0.127533856662
1.12	-1.6109157458	0.142976510198
1.13	-1.68649252987	0.159463551576
1.14	-1.82931479899	0.177042588221
1.15	-1.88644370664	0.195621380749
1.16	-1.98106345993	0.214958916582
1.17	-2.00010642914	0.234864766027
1.18	-2.00962791375	0.254913437741
1.19	-2.01914939836	0.275057324302
1.2	-2.03819236757	0.295344033132
1.21	-2.03819236757	0.315725956807
1.22	-2.10484275983	0.336441132444
1.23	-2.14292869826	0.357679989735
1.24	-2.17149315208	0.379252098986
1.25	-2.17149315208	0.400967030507
1.26	-2.1905361213	0.422777176874
1.27	-2.14292869826	0.444444500972
1.28	-2.15245018287	0.465921395378
1.29	-2.13340721365	0.48735068236
1.3	-2.11436424444	0.508589539651
1.31	-2.09532127522	0.529637967249
1.32	-2.03819236757	0.550305535463
