"Latest: Tiempo (s)","Latest: Tasa de Flujo (L/s)","Latest: Volumen (L)"
0,-0.0517726412654,-0
0.01,-0.0803370950889,0.000660548681772
0.02,-0.0993800643046,0.00155913447874
0.03,-0.108901548912,0.00260054254482
0.04,-0.0993800643046,0.0036419506109
0.05,-0.0803370950889,0.00454053640787
0.06,-0.0803370950889,0.00534390735876
0.07,-0.0612941258732,0.00605206346357
0.08,-0.0422511566576,0.00656978987623
0.09,-0.0232081874419,0.00689708659672
0.1,-0.0136867028341,0.0070815610481
0.11,-0.0232081874419,0.00726603549948
0.12,-0.00476031101425,0.00740587799176
0.13,-0.00476031101425,0.00745348110191
0.14,-0.00476031101425,0.00750108421205
0.15,-0.00476031101425,0.00754868732219
0.16,-0.0136867028341,0.00764092239143
0.17,-0.00476031101425,0.00773315746068
0.18,-0.00476031101425,0.00778076057082
0.19,0.00476117359358,0.00778075625792
0.2,0.0142826582014,0.00768553709895
0.21,0.00476117359358,0.00759031793997
0.22,0.00476117359358,0.00754270620404
0.23,-0.0136867028341,0.00758733385024
0.24,-0.0136867028341,0.00772420087858
0.25,-0.0136867028341,0.00786106790692
0.26,-0.0232081874419,0.0080455423583
0.27,-0.0327296720498,0.00832523165576
0.28,-0.0327296720498,0.00865252837626
0.29,-0.0327296720498,0.00897982509675
0.3,-0.0327296720498,0.00930712181725
0.31,-0.0422511566576,0.00968202596079
0.32,-0.0422511566576,0.0101045375274
0.33,-0.0803370950889,0.0107174787861
0.34,-0.0898585796967,0.01156845716
0.35,-0.0993800643046,0.01251465038
0.36,-0.127944518128,0.0136512732922
0.37,-0.127944518128,0.0149307184735
0.38,-0.127944518128,0.0162101636548
0.39,-0.137466002736,0.0175372162591
0.4,-0.156508971952,0.0190070911325
0.41,-0.156508971952,0.020572180852
0.42,-0.137466002736,0.0220420557255
0.43,-0.146987487344,0.0234643231759
0.44,-0.156508971952,0.0249818054724
0.45,-0.156508971952,0.0265468951919
0.46,-0.166030456559,0.0281595923344
0.47,-0.156508971952,0.029772289477
0.48,-0.146987487344,0.0312897717735
0.49,-0.156508971952,0.0328072540699
0.5,-0.194594910383,0.0345627734816
0.51,-0.25172381803,0.0367943671237
0.52,-0.270766787246,0.0394068201501
0.53,-0.270766787246,0.0421144880225
0.54,-0.270766787246,0.044822155895
0.55,-0.242202333422,0.0473870014983
0.56,-0.213637879599,0.0496662025634
0.57,-0.166030456559,0.0515645442442
0.58,-0.127944518128,0.0530344191177
0.59,-0.0803370950889,0.0540758271837
0.6,-0.0612941258732,0.0547839832886
0.61,-0.0517726412654,0.0553493171242
0.62,-0.0612941258732,0.0559146509599
0.63,-0.0803370950889,0.0566228070647
0.64,-0.11842303352,0.0576166077078
0.65,-0.137466002736,0.0588960528891
0.66,-0.175551941167,0.0604611426086
0.67,-0.194594910383,0.0623118768663
0.68,-0.232680848814,0.0644482556623
0.69,-0.261245302638,0.0669178864196
0.7,-0.270766787246,0.069577946869
0.71,-0.270766787246,0.0722856147415
0.72,-0.270766787246,0.0749932826139
0.73,-0.270766787246,0.0777009504864
0.74,-0.25172381803,0.0803134035128
0.75,-0.232680848814,0.082735426847
0.76,-0.232680848814,0.0850622353351
0.77,-0.213637879599,0.0872938289772
0.78,-0.213637879599,0.0894302077732
0.79,-0.204116394991,0.0915189791461
0.8,-0.213637879599,0.0936077505191
0.81,-0.232680848814,0.0958393441611
0.82,-0.270766787246,0.0983565823414
0.83,-0.299331241069,0.101207072483
0.84,-0.34634357132,0.104435446545
0.85,-0.393950994359,0.108136919373
0.86,-0.47964435583,0.112504896124
0.87,-0.584380686516,0.117825021336
0.88,-0.698043409022,0.124237141814
0.89,-0.821822708924,0.131836472403
0.9,-0.955123493433,0.140721203415
0.91,-1.10687215437,0.151031181654
0.92,-1.29730184653,0.163052051659
0.93,-1.45857199207,0.176831420852
0.94,-1.62043723041,0.192226466964
0.95,-1.79122886056,0.209284797419
0.96,-1.93405112968,0.22791119737
0.97,-2.07627830601,0.247962844549
0.98,-2.1905361213,0.269296916685
0.99,-2.32324181302,0.291865806357
1,-2.46606408214,0.315812335833
1.01,-2.56127892822,0.340949050884
1.02,-2.6463771969,0.36698733151
1.03,-2.72254907376,0.393831962863
1.04,-2.7701564968,0.421295490716
1.05,-2.78919946602,0.44909227053
1.06,-2.84632837366,0.477269909729
1.07,-2.90345728131,0.506018838003
1.08,-2.8939357967,0.535005803394
1.09,-2.90345728131,0.563992768784
1.1,-2.92250025053,0.593122556443
1.11,-2.92250025053,0.622347558948
1.12,-2.90345728131,0.651477346607
1.13,-2.97903406539,0.680889803341
