"Latest: Tiempo (s)","Latest: Tasa de Flujo (L/s)","Latest: Volumen (L)"
0,-0.0517726412654,-0
0.01,-0.0612941258732,0.000565333835693
0.02,-0.0612941258732,0.00117827509443
0.03,-0.0422511566576,0.00169600150708
0.04,-0.0327296720498,0.00207090565062
0.05,-0.0422511566576,0.00244580979415
0.06,-0.0422511566576,0.00286832136073
0.07,-0.0422511566576,0.00329083292731
0.08,-0.0422511566576,0.00371334449388
0.09,-0.0517726412654,0.0041834634835
0.1,-0.0422511566576,0.00465358247311
0.11,-0.0517726412654,0.00512370146273
0.12,-0.0517726412654,0.00564142787538
0.13,-0.0612941258732,0.00620676171107
0.14,-0.0612941258732,0.00681970296981
0.15,-0.0612941258732,0.00743264422854
0.16,-0.0422511566576,0.00795037064119
0.17,-0.0517726412654,0.00842048963081
0.18,-0.0422511566576,0.00889060862042
0.19,-0.0612941258732,0.00940833503307
0.2,-0.0517726412654,0.00997366886877
0.21,-0.0612941258732,0.0105390027045
0.22,-0.0517726412654,0.0111043365402
0.23,-0.0422511566576,0.0115744555298
0.24,-0.0422511566576,0.0119969670963
0.25,-0.0422511566576,0.0124194786629
0.26,-0.0517726412654,0.0128895976525
0.27,-0.0422511566576,0.0133597166422
0.28,-0.0517726412654,0.0138298356318
0.29,-0.0517726412654,0.0143475620444
0.3,-0.0422511566576,0.014817681034
0.31,-0.0517726412654,0.0152878000236
0.32,-0.0612941258732,0.0158531338593
0.33,-0.0517726412654,0.016418467695
0.34,-0.0517726412654,0.0169361941077
0.35,-0.0517726412654,0.0174539205203
0.36,-0.0612941258732,0.018019254356
0.37,-0.0517726412654,0.0185845881917
0.38,-0.0517726412654,0.0191023146044
0.39,-0.0517726412654,0.019620041017
0.4,-0.0612941258732,0.0201853748527
0.41,-0.0517726412654,0.0207507086884
0.42,-0.0612941258732,0.0213160425241
0.43,-0.0612941258732,0.0219289837828
0.44,-0.0612941258732,0.0225419250416
0.45,-0.0612941258732,0.0231548663003
0.46,-0.0612941258732,0.023767807559
0.47,-0.0612941258732,0.0243807488178
0.48,-0.0612941258732,0.0249936900765
0.49,-0.0612941258732,0.0256066313352
0.5,-0.0708156104811,0.026267180017
0.51,-0.0612941258732,0.0269277286988
0.52,-0.0517726412654,0.0274930625345
0.53,-0.0612941258732,0.0280583963702
0.54,-0.0612941258732,0.0286713376289
0.55,-0.0612941258732,0.0292842788876
0.56,-0.0612941258732,0.0298972201464
0.57,-0.0612941258732,0.0305101614051
0.58,-0.0612941258732,0.0311231026638
0.59,-0.0517726412654,0.0316884364995
0.6,-0.0612941258732,0.0322537703352
0.61,-0.0517726412654,0.0328191041709
0.62,-0.0517726412654,0.0333368305836
0.63,-0.0517726412654,0.0338545569962
0.64,-0.0517726412654,0.0343722834089
0.65,-0.0517726412654,0.0348900098215
0.66,-0.0612941258732,0.0354553436572
0.67,-0.0708156104811,0.036115892339
0.68,-0.0612941258732,0.0367764410208
0.69,-0.0612941258732,0.0373893822795
0.7,-0.0708156104811,0.0380499309613
0.71,-0.0612941258732,0.038710479643
0.72,-0.0612941258732,0.0393234209018
0.73,-0.0612941258732,0.0399363621605
0.74,-0.0612941258732,0.0405493034192
0.75,-0.0612941258732,0.041162244678
0.76,-0.0612941258732,0.0417751859367
0.77,-0.0612941258732,0.0423881271954
0.78,-0.0708156104811,0.0430486758772
0.79,-0.0612941258732,0.043709224559
0.8,-0.0612941258732,0.0443221658177
0.81,-0.0612941258732,0.0449351070764
0.82,-0.0708156104811,0.0455956557582
0.83,-0.0612941258732,0.04625620444
0.84,-0.0612941258732,0.0468691456987
0.85,-0.0708156104811,0.0475296943805
0.86,-0.0612941258732,0.0481902430623
0.87,-0.0612941258732,0.048803184321
0.88,-0.0517726412654,0.0493685181567
0.89,-0.0612941258732,0.0499338519924
0.9,-0.0422511566576,0.050451578405
0.91,-0.0517726412654,0.0509216973946
0.92,-0.0612941258732,0.0514870312303
0.93,-0.0612941258732,0.0520999724891
0.94,-0.0612941258732,0.0527129137478
0.95,-0.0612941258732,0.0533258550065
0.96,-0.0708156104811,0.0539864036883
0.97,-0.0612941258732,0.0546469523701
0.98,-0.0612941258732,0.0552598936288
0.99,-0.0517726412654,0.0558252274645
1,-0.0517726412654,0.0563429538772
1.01,-0.0612941258732,0.0569082877128
1.02,-0.0612941258732,0.0575212289716
1.03,-0.0517726412654,0.0580865628073
1.04,-0.0708156104811,0.058699504066
1.05,-0.0612941258732,0.0593600527478
1.06,-0.0612941258732,0.0599729940065
1.07,-0.0612941258732,0.0605859352652
1.08,-0.0612941258732,0.061198876524
1.09,-0.0708156104811,0.0618594252057
1.1,-0.0517726412654,0.0624723664645
1.11,-0.0803370950889,0.0631329151462
1.12,-0.0422511566576,0.063745856405
1.13,-0.0612941258732,0.0642635828176
1.14,-0.0708156104811,0.0649241314994
1.15,-0.0612941258732,0.0655846801812
1.16,-0.0708156104811,0.0662452288629
1.17,-0.0612941258732,0.0669057775447
1.18,-0.0612941258732,0.0675187188034
1.19,-0.0708156104811,0.0681792674852
1.2,-0.0803370950889,0.0689350310131
1.21,-0.0898585796967,0.069786009387
1.22,-0.0803370950889,0.0706369877609
1.23,-0.0803370950889,0.0714403587118
1.24,-0.0517726412654,0.0721009073936
1.25,-0.0612941258732,0.0726662412293
1.26,-0.0803370950889,0.0733743973341
1.27,-0.0517726412654,0.0740349460159
1.28,-0.0422511566576,0.0745050650055
1.29,-0.0517726412654,0.0749751839951
1.3,-0.0422511566576,0.0754453029847
1.31,-0.0517726412654,0.0759154219743
1.32,-0.0517726412654,0.076433148387
1.33,-0.0708156104811,0.0770460896457
1.34,-0.0708156104811,0.0777542457505
1.35,-0.0612941258732,0.0784147944323
1.36,-0.0708156104811,0.0790753431141
1.37,-0.0612941258732,0.0797358917958
1.38,-0.0612941258732,0.0803488330546
1.39,-0.0612941258732,0.0809617743133
1.4,-0.0517726412654,0.081527108149
1.41,-0.0517726412654,0.0820448345616
1.42,-0.0422511566576,0.0825149535513
1.43,-0.0803370950889,0.08312789481
1.44,-0.204116394991,0.0845501622604
1.45,-0.384429509751,0.0874928917841
1.46,-0.5653377173,0.0922417279194
1.47,-0.736129347453,0.0987490632431
1.48,-0.964644978041,0.107252934871
1.49,-1.10687215437,0.117610520533
1.5,-1.16400106202,0.128964886615
1.51,-1.33479269217,0.141458855386
1.52,-1.35383566139,0.154901997153
1.53,-1.4966579305,0.169154465113
1.54,-1.63888510683,0.184832180299
1.55,-1.75314292213,0.201792320444
1.56,-1.81027182977,0.219609394204
